标题,简介,豆瓣评分,创建时间
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 / 2016 / 上海译文出版社,8.6,2024-06-30 16:32:09
乡土中国,费孝通 / 2006 / 上海人民出版社,9.2,2024-06-30 16:31:57
审计的逻辑,李洪 / 2021 / 经济科学出版社,0.0,2024-06-25 14:59:13
控制论与科学方法论,金观涛 华国凡 / 2005 / 新星出版社,9.1,2024-06-25 13:13:05
会计之道,马靖昊 / 2022 / 立信会计出版社,7.5,2024-06-23 21:15:47
一本书看透股权架构,李利威 / 2019 / 机械工业出版社,9.1,2024-06-21 15:58:36
股权架构：顶层设计+五大模式+重组规划（新时代·管理新思维）,,0.0,2024-06-21 15:58:24
法律人笔记：民法典如何保障我们的日常生活,艾罗伟 / 清华大学出版社,0.0,2024-06-18 15:49:46
中国宏观经济九讲,李奇霖 殷越 卢婉琪 / 2023 / 上海财经大学出版社,9.2,2024-06-16 17:25:48
四大会计师事务所,[澳] 伊恩·D.高 [澳] 斯图尔特·凯尔斯 / 2024 / 机械工业出版社,0.0,2024-06-16 17:22:09
八次危机,温铁军 / 2013 / 东方出版社,8.9,2024-06-16 14:12:25
债务危机,[美] 瑞·达利欧 / 2019 / 中信出版社,8.8,2024-06-16 14:12:13
一本书读懂30部经济学经典（学术经典导读丛书）,郭泽德，宋义平，关佳佳 / 2023 / 清华大学出版社,7.6,2024-06-15 10:16:54
投资银行、对冲基金和私募股权投资,(美)戴维·斯托厄尔 / 2013 / 机械工业出版社,8.6,2024-06-13 21:29:06
精神病学史,（美）爱德华·肖特 / 2008 / 上海科技教育出版社,7.8,2024-06-13 20:43:17
公司上市与并购法律尽职调查：律师实操手册,,0.0,2024-06-09 13:35:40
21世纪货币政策,[美国] 本·伯南克 / 2022 / 中信出版社,8.6,2024-06-09 09:20:11
四海之内,葛剑雄 / 2024 / 人民文学出版社,8.6,2024-06-06 19:32:46
毁灭与重生,[英] 保罗·贝茨 / 2024 / 民主与建设出版社,9.0,2024-06-06 19:32:09
公司法评注,李建伟 / 2024 / 法律出版社,8.2,2024-06-03 08:58:38
价值投资实战手册 (第二辑),唐朝 / 2022 / 中国经济出版社,9.1,2024-06-01 20:29:12
机构投资的创新之路,大卫·F.史文森 / 2020 / 中国人民大学出版社,8.8,2024-06-01 11:51:08
