标题,简介,豆瓣评分,创建时间,我的评分
巫师3：狂猎 The Witcher 3: Wild Hunt,The Witcher III: Wild Hunt/猎魔人3：狂猎/角色扮演/冒险/动作/PC/PlayStation 5/Xbox Series X/Nintendo Switch/PlayStation 4/Xbox One/CD Projekt RED Sp. z o.o./2015-05-19,9.5,2025-05-06 16:11:28,5
荒野大镖客：救赎2 Red Dead Redemption 2,碧血狂杀2/碧血狂殺2/血色救赎2/血色救贖2/Red Dead Redemption II/射击/冒险/动作/PC/PlayStation 5/Xbox Series X/PlayStation 4/Xbox One/Rockstar Games/2018-10-26,9.7,2025-05-06 16:10:36,5
