标题,简介,豆瓣评分,创建时间,我的评分
剑雨,2010 / 中国大陆 中国香港 中国台湾 / 动作 爱情 武侠 古装 / 苏照彬 / 杨紫琼 郑雨盛,7.7,2023-11-29 13:50:42,5
饥饿游戏：鸣鸟与蛇之歌,2023 / 美国 / 剧情 动作 科幻 惊悚 战争 冒险 / 弗朗西斯·劳伦斯 / 汤姆·布莱斯 瑞秋·齐格勒,6.6,2023-11-28 16:18:11,5
触不可及,2011 / 法国 / 剧情 喜剧 / 奥利维埃·纳卡什 埃里克·托莱达诺 / 弗朗索瓦·克鲁塞 奥玛·希,9.3,2023-11-22 19:42:52,5
千钧一发,1997 / 美国 / 剧情 科幻 惊悚 / 安德鲁·尼科尔 / 伊桑·霍克 乌玛·瑟曼,8.8,2023-11-19 13:39:27,5
繁城之下,2023 / 中国大陆 / 悬疑 犯罪 古装 / 王铮 / 白宇帆 宁理,8.5,2023-11-02 01:22:22,5
白日之下,2023 / 中国香港 / 剧情 犯罪 / 简君晋 / 姜大卫 余香凝,7.8,2023-11-07 00:05:46,5
93国际列车大劫案：莫斯科行动,2023 / 中国大陆 / 剧情 动作 犯罪 / 邱礼涛 / 张涵予 刘德华,6.0,2023-10-21 10:27:35,3
安德的游戏,2013 / 美国 / 动作 科幻 冒险 / 加文·胡德 / 阿萨·巴特菲尔德 哈里森·福特,7.1,2023-10-20 23:51:42,4
赛博朋克：边缘行者,2022 / 波兰 日本 美国 / 动作 科幻 动画 惊悚 犯罪 冒险 / 今石洋之 / 大桥贤一郎 悠木碧,9.0,2023-10-02 21:21:05,5
志愿军：雄兵出击,2023 / 中国大陆 / 剧情 历史 战争 / 陈凯歌 / 唐国强 王砚辉,6.9,2023-09-30 21:31:20,5
异物志,2022 / 中国大陆 / 动作 悬疑 奇幻 / 李洪绸 车志刚 邢冬冬 / 邵庄 杨羽,8.5,2023-09-01 14:28:46,5
不要见怪,2023 / 美国 / 喜剧 爱情 / 吉恩·斯图普尼兹基 / 詹妮弗·劳伦斯 安德鲁·巴特·费尔德曼,6.5,2023-10-08 00:23:41,3
一兆游戏,2023 / 日本 / 剧情 / 村尾嘉昭 竹村谦太郎 田中健太 / 目黑莲 佐野勇斗,7.5,2023-10-03 15:27:25,4
封神第一部：朝歌风云,2023 / 中国大陆 / 动作 战争 奇幻 古装 / 乌尔善 / 费翔 李雪健,7.7,2023-08-01 00:14:54,4
碟中谍7：致命清算（上）,2023 / 美国 / 动作 惊悚 冒险 / 克里斯托弗·麦奎里 / 汤姆·克鲁斯 海莉·阿特维尔,7.6,2023-07-18 11:11:00,4
闪电侠,2023 / 美国 加拿大 澳大利亚 新西兰 / 动作 科幻 奇幻 冒险 / 安德斯·穆斯切蒂 / 埃兹拉·米勒 本·阿弗莱克,7.7,2023-06-24 00:14:10,3
唐朝诡事录,2022 / 中国大陆 / 悬疑 奇幻 武侠 古装 / 柏杉 / 杨旭文 杨志刚,8.0,2025-01-01 12:46:28,5
消失的她,2022 / 中国大陆 / 悬疑 犯罪 / 崔睿 刘翔 / 朱一龙 倪妮,6.2,2023-06-21 23:01:10,3
后浪,2023 / 中国大陆 / 剧情 / 韩晓军 / 吴刚 赵露思,4.1,2023-05-17 19:58:24,1
显微镜下的大明之丝绢案,2023 / 中国大陆 / 剧情 悬疑 古装 / 潘安子 / 张若昀 王阳,7.9,2023-05-07 21:00:11,5
银河护卫队3,2023 / 美国 / 喜剧 动作 科幻 惊悚 冒险 / 詹姆斯·古恩 / 克里斯·帕拉特 佐伊·索尔达娜,8.3,2023-05-06 22:08:55,4
漫长的季节,2023 / 中国大陆 / 剧情 家庭 犯罪 / 辛爽 / 范伟 秦昊,9.4,2023-05-05 00:28:08,5
灌篮高手,2022 / 日本 / 动画 运动 / 井上雄彦 / 仲村宗悟 笠间淳,8.9,2023-04-22 23:46:18,4
龙与地下城：侠盗荣耀,2023 / 美国 加拿大 / 动作 奇幻 冒险 / 约翰·弗朗西斯·戴利 乔纳森·戈尔茨坦 / 克里斯·派恩 米歇尔·罗德里格兹,7.6,2023-04-15 23:41:46,5
鬼灭之刃 锻刀村篇,2023 / 日本 / 剧情 动画 / 外崎春雄 / 花江夏树 鬼头明里,8.7,2023-10-03 15:27:45,5
雷霆沙赞！众神之怒,2023 / 美国 / 喜剧 动作 奇幻 冒险 / 大卫·F·桑德伯格 / 扎克瑞·莱维 亚瑟·安其,5.4,2023-03-17 22:47:23,3
保你平安,2022 / 中国大陆 / 剧情 喜剧 / 大鹏 / 大鹏 李雪琴,7.6,2023-03-12 22:18:18,5
蝙蝠侠：黑暗骑士,2008 / 美国 英国 / 剧情 动作 科幻 惊悚 犯罪 / 克里斯托弗·诺兰 / 克里斯蒂安·贝尔 希斯·莱杰,9.2,2023-02-24 19:43:59,5
移动迷宫,2014 / 美国 英国 / 动作 科幻 冒险 / 韦斯·鲍尔 / 迪伦·奥布莱恩 阿梅尔·艾米恩,7.1,2023-02-22 20:51:28,3
蚁人与黄蜂女：量子狂潮,2023 / 美国 / 喜剧 动作 科幻 冒险 / 佩顿·里德 / 保罗·路德 伊万杰琳·莉莉,5.8,2023-02-18 00:11:37,4
黑豹2,2022 / 美国 / 剧情 动作 科幻 惊悚 奇幻 冒险 / 瑞恩·库格勒 / 莱蒂希娅·赖特 露皮塔·尼永奥,5.4,2023-02-07 21:50:50,3
流浪地球2,2023 / 中国大陆 / 科幻 冒险 灾难 / 郭帆 / 吴京 刘德华,8.3,2023-01-30 00:08:45,5
西游记之大圣归来,2015 / 中国大陆 / 剧情 动画 奇幻 / 田晓鹏 / 张磊 林子杰,8.3,2023-01-22 17:17:54,5
动物世界,2018 / 中国大陆 / 剧情 动作 冒险 / 韩延 / 李易峰 迈克尔·道格拉斯,7.2,2023-01-22 17:12:46,4
长津湖,2021 / 中国大陆 中国香港 / 剧情 历史 战争 / 陈凯歌 徐克 林超贤 / 吴京 易烊千玺,7.4,2023-01-22 17:12:33,4
三体,2023 / 中国大陆 / 剧情 科幻 / 杨磊 / 张鲁一 于和伟,8.7,2023-01-18 23:48:55,5
去有风的地方,2023 / 中国大陆 / 剧情 爱情 / 丁梓光 / 刘亦菲 李现,8.8,2023-03-26 21:36:44,4
未知电视剧,,0.0,2023-01-05 22:46:38,4
阿凡达：水之道,2022 / 美国 / 动作 科幻 冒险 / 詹姆斯·卡梅隆 / 萨姆·沃辛顿 佐伊·索尔达娜,7.8,2023-01-04 17:21:26,3
中国奇谭,2023 / 中国大陆 / 动画 短片 奇幻 / 陈廖宇 於水 胡睿 杨木 刘毛宁 陈莲华 周小琳 潘斌 顾杨 刘旷 徐宁,8.7,2023-01-05 22:46:19,5
弥留之国的爱丽丝 第二季,2022 / 日本 / 动作 科幻 悬疑 惊悚 奇幻 / 佐藤信介 / 山崎贤人 土屋太凤,6.4,2023-03-26 21:38:21,3
流人 第一季,2022 / 英国 / 剧情 惊悚 / 詹姆斯·哈维斯 / 加里·奥德曼 杰克·劳登,8.6,2023-10-03 15:31:11,4
星期三 第一季,2022 / 美国 / 喜剧 悬疑 犯罪 奇幻 / 蒂姆·波顿 甘加·蒙泰罗 詹姆斯·马歇尔 / 詹娜·奥尔特加 格温多兰·克里斯蒂,7.8,2022-12-03 19:25:13,5
全能侦探社 第一季,2016 / 美国 英国 / 喜剧 科幻 / 马克斯·兰迪斯   迪恩·帕里索 迈克尔·帕特里克·詹恩 / 伊利亚·伍德 塞缪尔·巴奈特,8.5,2022-11-11 00:50:25,4
边缘世界,2022 / 美国 / 剧情 科幻 惊悚 / 文森佐·纳塔利 欧瑞克·莱利 / 科洛·葛蕾丝·莫瑞兹 加里·卡尔,7.4,2023-03-26 21:38:36,2
小谢尔顿 第四季,2020 / 美国 / 喜剧 / 贾弗尔·马哈穆德 / 伊恩·阿米蒂奇 佐伊·派瑞,9.4,2022-09-25 13:48:30,5
小谢尔顿 第二季,2018 / 美国 / 喜剧 / 贾弗尔·马哈穆德 霍华德·达奇 / 伊恩·阿米蒂奇 佐伊·派瑞,9.5,2022-09-25 13:48:14,5
小谢尔顿 第一季,2017 / 美国 / 喜剧 / 乔恩·费儒 迈克尔·津伯格 贾弗尔·马哈穆德 / 伊恩·阿米蒂奇 佐伊·派瑞,9.3,2022-09-25 13:48:06,5
你安全吗？,2022 / 中国大陆 / 剧情 / 曹盾 杨彪 / 檀健次 荣梓杉,6.9,2025-04-21 19:38:56,3
东八区的先生们,2022 / 中国大陆 / 剧情 喜剧 / 夏睿 / 张翰 王晓晨,2.1,2022-09-13 12:26:38,1
破风,2015 / 中国香港 中国大陆 / 剧情 运动 / 林超贤 / 彭于晏 窦骁,7.3,2022-09-11 20:40:23,4
湄公河行动,2016 / 中国大陆 中国香港 / 剧情 动作 犯罪 / 林超贤 / 张涵予 彭于晏,8.0,2022-09-11 20:39:31,4
血战钢锯岭,2016 / 澳大利亚 美国 / 剧情 传记 历史 战争 / 梅尔·吉布森 / 安德鲁·加菲尔德 萨姆·沃辛顿,8.7,2022-09-11 20:39:19,4
夺冠,2020 / 中国大陆 / 剧情 运动 / 陈可辛 / 巩俐 黄渤,7.1,2022-09-11 20:39:12,4
大楼里只有谋杀 第一季,2021 / 美国 / 喜剧 悬疑 犯罪 / 詹米·巴比特 吉莉安·罗伯斯比尔 唐·斯卡尔蒂诺 雪梨·道比什 / 史蒂夫·马丁 马丁·肖特,8.2,2022-11-01 23:37:05,5
新神榜：杨戬,2022 / 中国大陆 / 动作 动画 奇幻 冒险 / 赵霁 / 王凯 季冠霖,7.0,2022-09-02 22:50:43,5
百鸟朝凤,2013 / 中国大陆 / 剧情 音乐 / 吴天明 / 陶泽如 李岷城,8.3,2022-09-02 16:38:11,4
小人物,2021 / 美国 日本 / 动作 犯罪 / 伊利亚·奈舒勒 / 鲍勃·奥登科克 阿列克谢·谢列布里亚科夫,7.8,2022-09-02 16:37:38,3
唐人街探案,2015 / 中国大陆 / 喜剧 动作 悬疑 / 陈思诚 / 王宝强 刘昊然,7.7,2022-09-02 16:28:35,5
八佰,2020 / 中国大陆 / 剧情 历史 战争 / 管虎 / 王千源 张译,7.5,2022-09-02 16:28:25,4
夏洛特烦恼,2015 / 中国大陆 / 喜剧 爱情 / 闫非 彭大魔 / 沈腾 马丽,7.9,2022-09-02 16:28:15,4
我和我的祖国,2019 / 中国大陆 / 剧情 / 陈凯歌 张一白 管虎 薛晓路 徐峥 宁浩 文牧野 / 黄渤 张译,7.6,2022-09-02 16:28:08,5
垫底辣妹,2015 / 日本 / 剧情 家庭 / 土井裕泰 / 有村架纯 伊藤淳史,8.3,2022-09-02 16:28:01,5
