标题,简介,豆瓣评分,创建时间,我的评分
黑镜 第一季,2011 / 英国 / 剧情 科幻 惊悚 / 奥图·巴瑟赫斯特 尤洛斯·林 布莱恩·威尔许 / 罗里·金尼尔 鲁伯特·艾弗雷特,9.4,2022-07-16 14:31:39,5
生活大爆炸 第十季,2016 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯,9.3,2022-07-16 14:31:02,5
生活大爆炸 第九季,2015 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯,9.2,2022-07-16 14:31:00,5
生活大爆炸 第八季,2014 / 美国 / 喜剧 / 马克·森卓斯基 / 吉姆·帕森斯 约翰尼·盖尔克奇,9.2,2022-07-16 14:30:58,5
生活大爆炸 第七季,2013 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯,9.3,2022-07-16 14:30:55,5
生活大爆炸 第六季,2012 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯,9.1,2022-07-16 14:30:54,5
生活大爆炸  第五季,2011 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯,9.2,2022-07-16 14:30:53,5
生活大爆炸  第四季,2010 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯,9.3,2022-07-16 14:30:52,5
生活大爆炸  第三季,2009 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯,9.4,2022-07-16 14:30:51,5
生活大爆炸  第二季,2008 / 美国 / 喜剧 / 查克·罗瑞 比尔·布拉迪 / 吉姆·帕森斯 约翰尼·盖尔克奇,9.5,2022-07-16 14:30:42,5
生活大爆炸  第一季,2007 / 美国 / 喜剧 / 詹姆斯·伯罗斯 / 吉姆·帕森斯 约翰尼·盖尔克奇,9.5,2022-07-16 14:30:36,5
奇异博士2：疯狂多元宇宙,2022 / 美国 / 动作 科幻 恐怖 奇幻 冒险 / 山姆·雷米 / 本尼迪克特·康伯巴奇 伊丽莎白·奥尔森,6.3,2022-07-16 14:30:05,3
爆裂鼓手,2014 / 美国 / 剧情 音乐 / 达米恩·查泽雷 / 迈尔斯·特勒 J·K·西蒙斯,8.6,2022-07-16 14:29:21,4
穿条纹睡衣的男孩,2008 / 英国 美国 / 剧情 战争 / 马克·赫尔曼 / 阿萨·巴特菲尔德 维拉·法米加,9.2,2022-07-16 14:28:46,5
一条狗的使命2,2019 / 中国大陆 印度 中国香港 美国 / 剧情 喜剧 家庭 / 盖尔·曼库索 / 丹尼斯·奎德 凯瑟琳·普雷斯科特,6.9,2022-07-16 14:28:26,5
飞驰人生,2019 / 中国大陆 / 喜剧 / 韩寒 / 沈腾 黄景瑜,6.8,2022-07-16 14:28:14,5
蜘蛛侠：英雄远征,2019 / 美国 / 动作 科幻 冒险 / 乔·沃茨 / 汤姆·霍兰德 赞达亚,7.6,2022-07-16 14:27:59,4
侏罗纪世界3,2022 / 美国 马耳他 / 动作 科幻 冒险 / 科林·特莱沃若 / 克里斯·帕拉特 布莱丝·达拉斯·霍华德,6.0,2022-07-11 18:20:05,3
神探大战,2022 / 中国香港 中国大陆 / 动作 悬疑 犯罪 / 韦家辉 / 刘青云 蔡卓妍,6.7,2022-07-09 22:16:12,5
山村狐妻,2022 / 中国大陆 / 悬疑 惊悚 / 刘轩狄 / 盛冠森 王铭,6.5,2022-06-11 00:08:03,4
瞬息全宇宙,2022 / 美国 / 喜剧 奇幻 冒险 / 关家永 丹尼尔·施纳特 / 杨紫琼 许玮伦,7.6,2022-05-27 21:59:42,4
致命感应,2021 / 美国 中国大陆 / 悬疑 恐怖 / 温子仁 / 安娜贝拉·沃丽丝 麦蒂·哈森,6.7,2022-05-01 19:09:48,3
蜘蛛侠：英雄无归,2021 / 美国 / 动作 科幻 奇幻 冒险 / 乔·沃茨 / 汤姆·霍兰德 赞达亚,6.6,2022-05-01 19:09:06,4
新蝙蝠侠,2022 / 美国 / 剧情 动作 悬疑 犯罪 / 马特·里夫斯 / 罗伯特·帕丁森 佐伊·克罗维兹,7.2,2022-05-01 19:08:25,4
月光骑士,2022 / 美国 / 动作 奇幻 冒险 / 穆罕默德·迪亚卜 艾伦·穆尔黑德 贾斯汀·本森 / 奥斯卡·伊萨克 梅·卡拉美维,7.9,2025-02-27 17:47:21,3
少年派的奇幻漂流,2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险 / 李安 / 苏拉·沙玛 伊尔凡·可汗,9.1,2022-03-07 15:45:50,4
放牛班的春天,2004 / 法国 瑞士 德国 / 剧情 音乐 / 克里斯托夫·巴哈蒂 / 让-巴蒂斯特·莫尼耶 热拉尔·朱尼奥,9.3,2022-03-07 15:45:37,5
扎克·施奈德版正义联盟,2021 / 美国 / 动作 科幻 奇幻 冒险 / 扎克·施奈德 / 本·阿弗莱克 亨利·卡维尔,8.1,2022-03-06 19:55:42,4
死侍2：我爱我家,2018 / 美国 / 喜剧 动作 科幻 冒险 / 大卫·雷奇 / 瑞安·雷诺兹 乔什·布洛林,7.3,2022-03-06 19:55:11,5
悬崖之上,2021 / 中国大陆 中国香港 / 剧情 动作 悬疑 / 张艺谋 / 张译 于和伟,7.4,2022-03-06 19:55:01,3
X特遣队：全员集结,2021 / 美国 加拿大 英国 / 喜剧 动作 科幻 冒险 / 詹姆斯·古恩 / 玛格特·罗比 伊德瑞斯·艾尔巴,8.0,2022-03-06 19:54:34,4
寻梦环游记,2017 / 美国 / 喜剧 动画 音乐 奇幻 / 李·昂克里奇 阿德里安·莫利纳 / 安东尼·冈萨雷斯 盖尔·加西亚·贝纳尔,9.1,2022-03-06 19:54:25,5
花束般的恋爱,2021 / 日本 / 剧情 爱情 / 土井裕泰 / 菅田将晖 有村架纯,8.6,2022-02-27 23:36:26,5
东京女子图鉴,2016 / 日本 / 剧情 / 棚田由纪 / 水川麻美 阿部力,8.6,2025-03-31 13:53:54,4
真探 第一季,2014 / 美国 / 剧情 悬疑 犯罪 / 凯瑞·福永 / 马修·麦康纳 伍迪·哈里森,9.3,2025-02-27 17:30:16,3
IT狂人 第一季,2006 / 英国 / 喜剧 / 格雷厄姆·莱恩汉 Graham Linehan Richard Boden Ben Fuller Barbara Wiltshire / 克里斯·奥多德 理查德·艾欧阿德,9.1,2022-02-17 18:13:56,5
决胜时刻,2019 / 中国大陆 / 剧情 传记 历史 / 黄建新 宁海强 / 唐国强 刘劲,6.4,2022-02-05 13:03:55,4
鬼灭之刃 无限列车篇,2021 / 日本 / 动画 奇幻 / 外崎春雄 / 花江夏树 鬼头明里,9.3,2022-01-31 14:48:56,5
鬼灭之刃,2019 / 日本 / 动画 奇幻 / 外崎春雄 细川秀树 间岛崇宽 伊藤祐毅 野中卓也 五味伸介 宫原秀二 高桥贤 / 花江夏树 鬼头明里,9.1,2022-01-31 14:48:49,5
奇巧计程车,2021 / 日本 / 剧情 动画 悬疑 / 木下麦 新田典生 西田健一 大庭秀昭 / 花江夏树 饭田里穗,9.4,2022-01-31 14:48:26,5
四月是你的谎言,2014 / 日本 / 剧情 动画 音乐 / 石黑恭平 石滨真史 柴山智隆 石井俊匡 岩田和也 井端义秀 高桥英俊 原田孝宏 中村章子 黑木美幸 仓田绫子 河野亚矢子 间岛崇宽 川越崇弘 福岛利规 矢岛武 小岛崇史 / 花江夏树 种田梨沙,9.1,2022-01-26 21:14:16,5
重生计划,2016 / 日本 / 剧情 爱情 动画 / 小坂知 关晓子 中田诚 高桥亨 山田弘和 奥野浩行 神原敏昭 备前克彦 / 小野贤章 茅野爱衣,8.8,2021-12-25 00:41:53,5
古董局中局,2021 / 中国大陆 中国香港 / 剧情 悬疑 冒险 / 郭子健 / 雷佳音 李现,5.9,2021-12-15 16:33:20,4
看不见的客人,2016 / 西班牙 / 剧情 悬疑 惊悚 犯罪 / 奥里奥尔·保罗 / 马里奥·卡萨斯 阿娜·瓦格纳,8.8,2021-11-30 23:52:03,5
模仿游戏,2014 / 英国 美国 / 剧情 同性 传记 战争 / 莫滕·泰杜姆 / 本尼迪克特·康伯巴奇 凯拉·奈特莉,8.8,2021-11-30 23:51:51,5
摔跤吧！爸爸,2016 / 印度 / 剧情 家庭 传记 运动 / 涅提·蒂瓦里 / 阿米尔·汗 法缇玛·萨那·纱卡,9.0,2021-11-30 23:51:42,5
