标题,简介,豆瓣评分,创建时间
佩小姐的奇幻城堡,2016 / 美国 / 剧情 奇幻 冒险 / 蒂姆·波顿 / 阿萨·巴特菲尔德 伊娃·格林,7.2,2022-12-08 00:04:00
塔尔萨之王 第一季,2022 / 美国 / 剧情 犯罪 / 本杰明·塞曼诺夫 艾伦·考特勒 / 西尔维斯特·史泰龙 加内特·赫德兰,8.4,2022-12-04 00:13:04
灵书妙探 第一季,2009 / 美国 / 剧情 悬疑 犯罪 / Andrew W. Marlowe / Nathan Fillion Stana Katic,8.2,2022-10-30 01:15:18
摇滚狂花,2022 / 中国大陆 / 剧情 音乐 / 李骏 荆丽鹏 石栾 / 姚晨 常远,7.4,2022-10-18 12:46:48
爱乐之城,2016 / 美国 / 剧情 爱情 歌舞 / 达米恩·查泽雷 / 瑞恩·高斯林 艾玛·斯通,8.4,2022-08-27 16:52:03
盲探,2013 / 中国大陆 中国香港 / 喜剧 爱情 悬疑 惊悚 犯罪 / 杜琪峰 / 刘德华 郑秀文,7.2,2022-07-24 13:30:20
我的名字,2021 / 韩国 / 动作 惊悚 / 金镇民 / 韩韶禧 朴熙顺 ,7.9,2022-07-20 23:02:32
秃然发生,2022 / 中国大陆 / 纪录片 / 杨云苏 徐婵娟 刘东啸 / 何润锋,0.0,2022-05-17 00:23:22
若是如此,2016 / 中国大陆 / 喜剧 / 殷博 / 艾伦 张小斐,7.3,2022-03-17 18:19:38
四重奏,2017 / 日本 / 剧情 爱情 悬疑 / 土井裕泰 金子文纪 坪井敏雄 / 松隆子 满岛光,9.1,2022-02-19 18:51:59
广告狂人 第一季,2007 / 美国 / 剧情 / 裘德·泰勒 / 乔恩·哈姆 伊丽莎白·莫斯,8.7,2022-02-19 18:51:47
大豆田永久子与三名前夫,2021 / 日本 / 剧情 喜剧 爱情 / 中江和仁 池田千寻 泷悠辅 / 松隆子 松田龙平,8.7,2022-02-19 18:51:36
用九柑仔店,2019 / 中国台湾 / 剧情 爱情 / 高炳权 曾英庭 / 张轩睿 莫允雯,8.4,2022-02-19 18:51:01
阿拉蕾,1997 / 日本 / 喜剧 动画 / 山内重保 志水淳儿 境宗久 中村哲治 伊藤尚往 藤濑顺一 上田芳裕 门田英彦 / 屋良有作 川田妙子,9.0,2022-02-19 18:50:38
