Sheet 名称,作品数量,豆瓣有效评分数,豆瓣最低评分,豆瓣最高评分,豆瓣平均评分,豆瓣中位评分,我的平均评分(10分制),最早年份,最新年份,中位年份,创建时间按季度统计,Top 5 国家/地区,Top 5 导演,Top 5 主演,Top 5 类型
想看,73,73,4.9,9.7,8.39,8.7,不适用,1988,2025,2018,"{Period('2021Q1', 'Q-DEC'): 1, Period('2021Q3', 'Q-DEC'): 1, Period('2021Q4', 'Q-DEC'): 5, Period('2022Q1', 'Q-DEC'): 26, Period('2022Q3', 'Q-DEC'): 3, Period('2022Q4', 'Q-DEC'): 10, Period('2023Q1', 'Q-DEC'): 4, Period('2023Q2', 'Q-DEC'): 4, Period('2023Q3', 'Q-DEC'): 2, Period('2023Q4', 'Q-DEC'): 4, Period('2024Q1', 'Q-DEC'): 1, Period('2024Q2', 'Q-DEC'): 2, Period('2024Q3', 'Q-DEC'): 1, Period('2024Q4', 'Q-DEC'): 1, Period('2025Q1', 'Q-DEC'): 3, Period('2025Q2', 'Q-DEC'): 5}",美国: 28; 日本: 17; 中国大陆: 15; 英国: 6; 韩国: 4,凯文·布瑞: 2; 土井裕泰: 2; 金子文纪: 2; 高畑勋: 2; 克雷格·卓贝: 1,松隆子: 3; 满岛光: 2; 堺雅人: 2; 新垣结衣: 2; 亚伦·保尔: 2,剧情: 47; 喜剧: 24; 爱情: 16; 动画: 14; 犯罪: 13
看过,212,212,2.1,9.7,8.03,8.2,8.74,1994,2025,2019,"{Period('2021Q1', 'Q-DEC'): 2, Period('2021Q4', 'Q-DEC'): 21, Period('2022Q1', 'Q-DEC'): 14, Period('2022Q2', 'Q-DEC'): 5, Period('2022Q3', 'Q-DEC'): 70, Period('2022Q4', 'Q-DEC'): 3, Period('2023Q1', 'Q-DEC'): 16, Period('2023Q2', 'Q-DEC'): 8, Period('2023Q3', 'Q-DEC'): 4, Period('2023Q4', 'Q-DEC'): 15, Period('2024Q1', 'Q-DEC'): 11, Period('2024Q2', 'Q-DEC'): 5, Period('2024Q3', 'Q-DEC'): 6, Period('2024Q4', 'Q-DEC'): 11, Period('2025Q1', 'Q-DEC'): 10, Period('2025Q2', 'Q-DEC'): 11}",美国: 103; 中国大陆: 68; 英国: 23; 日本: 23; 中国香港: 19,马克·森卓斯基: 10; 迈克·乔吉: 6; 陈思诚: 4; 外崎春雄: 4; 林超贤: 4,吉姆·帕森斯: 12; 约翰尼·盖尔克奇: 11; 托马斯·米德蒂奇: 6; 花江夏树: 6; 沈腾: 5,剧情: 101; 喜剧: 73; 动作: 70; 科幻: 49; 冒险: 48
所有影视作品汇总,285,285,2.1,9.7,8.12,8.4,8.74,1988,2025,2019,"{Period('2021Q1', 'Q-DEC'): 3, Period('2021Q3', 'Q-DEC'): 1, Period('2021Q4', 'Q-DEC'): 26, Period('2022Q1', 'Q-DEC'): 40, Period('2022Q2', 'Q-DEC'): 5, Period('2022Q3', 'Q-DEC'): 73, Period('2022Q4', 'Q-DEC'): 13, Period('2023Q1', 'Q-DEC'): 20, Period('2023Q2', 'Q-DEC'): 12, Period('2023Q3', 'Q-DEC'): 6, Period('2023Q4', 'Q-DEC'): 19, Period('2024Q1', 'Q-DEC'): 12, Period('2024Q2', 'Q-DEC'): 7, Period('2024Q3', 'Q-DEC'): 7, Period('2024Q4', 'Q-DEC'): 12, Period('2025Q1', 'Q-DEC'): 13, Period('2025Q2', 'Q-DEC'): 16}",美国: 131; 中国大陆: 83; 日本: 40; 英国: 29; 中国香港: 20,马克·森卓斯基: 10; 迈克·乔吉: 6; 土井裕泰: 4; 陈思诚: 4; 外崎春雄: 4,吉姆·帕森斯: 12; 约翰尼·盖尔克奇: 11; 托马斯·米德蒂奇: 6; 花江夏树: 6; 刘德华: 5,剧情: 148; 喜剧: 97; 动作: 75; 科幻: 53; 冒险: 52
